_id;title;published_at;timestamp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6ac;Experimental virus drug <b>remdesivir</b> effective in monkeys: study;2020-04-19T22:27:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6ab;Gilead  <b>Remdesivir</b>  COVID-19 And Political Risk (NASDAQ:GILD);2020-04-19T23:57:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6aa;<b>Remdesivir</b> shows promise against COVID-19  but more trials needed: Scientists;2020-04-20T11:12:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6a9;<b>Remdesivir</b> prevents Covid-19 progression in preclinical study;2020-04-20T11:51:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6a8;Gilead: New <b>Remdesivir</b> Data Set Up A Potential Short Trade (NASDAQ:GILD);2020-04-20T12:22:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6a7;Ebola drug <b>Remdesivir</b> to cure COVID-19?;2020-04-21T08:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6a6;Anti-viral drug <b>remdesivir</b> can stop coronavirus from reproducing  studies suggest;2020-04-21T11:31:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6a5;Gilead Sciences Races to Manufacture <b>Remdesivir</b>  but Chemistry Has Speed Limits;2020-04-22T15:15:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6a4;UPDATED: <b>Remdesivir</b> Studies Yield Mixed Results for COVID-19 Treatment;2020-04-23T07:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6a3;Sermo Reports Jury Is Still Out on <b>Remdesivir</b>  31% of Physicians Who Have Used <b>Remdesivir</b> Rate It as Highly Effective  31% Rate It with Low Effectiveness  38% Rate It as Somewhere in the Middle;2020-04-23T13:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5eaeed50d1ce1048f0a0b6a2;Stock Alert: Inovio Pharmaceuticals Climbs 11%;2020-04-23T14:19:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
